line_id,name,sequence,status,lat,lon
BL,頂埔,0,Operating,24.9593,121.419
BL,永寧,1,Operating,24.967220823923835,121.43682729636676
BL,土城,2,Operating,24.973226019823887,121.4444515781318
BL,海山,3,Operating,24.98554827609064,121.44887528615251
BL,亞東醫院,4,Operating,24.998589027397475,121.45264887598302
BL,府中,5,Operating,25.00893484494345,121.45921891977316
BL,板橋,6,Operating,25.014297124383823,121.46288178985704
BL,新埔,7,Operating,25.023546175309388,121.46821293452447
BL,江子翠,8,Operating,25.02990494278588,121.4722367606001
BL,龍山寺,9,Operating,25.035229130503154,121.50122086189027
BL,西門,10,Operating,25.042212597087047,121.50848773359856
BL,台北車站,11,Operating,25.0462,121.5175
BL,善導寺,12,Operating,25.04481300901872,121.5233401885831
BL,忠孝新生,13,Operating,25.04235484109193,121.53291875841308
BL,忠孝復興,14,Operating,25.041602162432408,121.54379399916068
BL,忠孝敦化,15,Operating,25.04149480094372,121.54965595628076
BL,國父紀念館,16,Operating,25.04134746745301,121.5576889492678
BL,市政府,17,Operating,25.04117889109046,121.5652594540565
BL,永春,18,Operating,25.040863616679307,121.57587285864736
BL,後山埤,19,Operating,25.044278553628136,121.58200407698276
BL,昆陽,20,Operating,25.050188656620406,121.5930201123863
BL,南港,21,Operating,25.052178378321837,121.60763420834738
BL,南港展覽館,22,Operating,25.0545656791777,121.61762249277858
R,象山,0,Operating,25.032793324340496,121.57066633691176
R,台北101/世貿,1,Operating,25.03297947915487,121.56349009453884
R,信義安和,2,Operating,25.03315004254659,121.55323253075672
R,大安,3,Operating,25.0328205730737,121.5436261083644
R,大安森林公園,4,Operating,25.033535251073037,121.5353080284314
R,東門,5,Operating,25.033927618168192,121.52832177315834
R,中正紀念堂,6,Operating,25.03427427019356,121.51704931955275
R,台大醫院,7,Operating,25.0414,121.5159
R,台北車站,8,Operating,25.0462,121.5175
R,中山,9,Operating,25.052675664748172,121.52039689994804
R,雙連,10,Operating,25.05764686024377,121.52070999301614
R,民權西路,11,Operating,25.06287666536337,121.51936274027928
R,圓山,12,Operating,25.071380222093712,121.52013178478052
R,劍潭,13,Operating,25.084236417468688,121.52496914164324
R,士林,14,Operating,25.09347397966629,121.52619154203938
R,芝山,15,Operating,25.10281102722776,121.52254228458312
R,明德,16,Operating,25.10979393588559,121.51882040916377
R,石牌,17,Operating,25.114420305321463,121.51564228487028
